Open,Close,Volume
45.540000915527344,46.22600173950195,15721000
45.50400161743164,45.34400177001953,13438000
45.34000015258789,44.90399932861328,15289000
44.94200134277344,45.41400146484375,10358500
45.04800033569336,43.40399932861328,16343500
43.50199890136719,43.71599960327149,14135500
44.36399841308594,44.21799850463867,11222000
44.41999816894531,46.902000427246094,25521500
46.78799819946289,46.678001403808594,16493000
46.57799911499024,46.09199905395508,15071000
46.3380012512207,46.512001037597656,9766000
46.99800109863281,45.9900016784668,9807500
46.43600082397461,45.93999862670898,7775000
46.11199951171875,46.11399841308594,3540000
46.29800033569336,45.790000915527344,9506500
46.012001037597656,47.4379997253418,12031500
47.31999969482422,47.61800003051758,18489500
47.70199966430664,48.00199890136719,13575000
46.14400100708008,44.68199920654297,34135500
45.27199935913086,44.68600082397461,15934000
44.0,43.80799865722656,18895500
42.8380012512207,43.130001068115234,17771500
43.571998596191406,42.20000076293945,18140500
42.80199813842773,41.56999969482422,20457000
42.31999969482422,41.99399948120117,15459500
42.402000427246094,40.0620002746582,20632000
40.44200134277344,41.23600006103516,32453500
39.79399871826172,40.99800109863281,27893000
41.742000579833984,40.94400024414063,20193500
39.880001068115234,39.7400016784668,29193000
40.310001373291016,39.99399948120117,15831000
40.959999084472656,40.5099983215332,15620500
40.012001037597656,39.2760009765625,13493500
39.34000015258789,38.71200180053711,24821000
38.47600173950195,37.61399841308594,18086000
38.15800094604492,37.93999862670898,22964000
37.9900016784668,38.2400016784668,14261500
37.75199890136719,39.38800048828125,26488000
38.48400115966797,36.555999755859375,28868000
36.71799850463867,34.69599914550781,39657000
34.13999938964844,35.066001892089844,21927000
34.2599983215332,32.52000045776367,47188000
31.420000076293945,29.597999572753903,46565000
28.464000701904297,29.649999618530277,43258000
30.100000381469727,28.733999252319336,52032500
30.399999618530277,30.0939998626709,71262000
31.0,30.20800018310547,36179000
31.739999771118164,31.03400039672852,27969000
31.799999237060547,33.73600006103516,29126000
34.48400115966797,33.354000091552734,19438000
32.73199844360352,33.316001892089844,14797000
34.02399826049805,35.54800033569336,25300500
35.23199844360352,35.44200134277344,29922000
34.54999923706055,35.79999923706055,26978000
35.72999954223633,37.48600006103516,28753500
37.7400016784668,38.06800079345703,30325500
38.47999954223633,38.38600158691406,22495000
38.84999847412109,37.27000045776367,33561000
36.74599838256836,37.667999267578125,24312000
37.65599822998047,39.14799880981445,24145000
39.59999847412109,40.20800018310547,32445500
39.5359992980957,41.05799865722656,26647000
40.70000076293945,40.52000045776367,20893500
40.90399932861328,41.74399948120117,16043000
42.0,41.0359992980957,25962500
41.58599853515625,41.5,16715500
42.52999877929688,43.02999877929688,20328500
42.854000091552734,43.667999267578125,15902500
43.59999847412109,44.38600158691406,17583500
44.29399871826172,45.2760009765625,18914500
45.81999969482422,46.54800033569336,23559000
47.06800079345703,47.66400146484375,26539000
47.44200134277344,46.84799957275391,21580000
46.4739990234375,44.51599884033203,24744000
43.15599822998047,45.54999923706055,24804500
46.321998596191406,46.05199813842773,19628500
45.97800064086914,46.0260009765625,20071500
47.01800155639648,45.37799835205078,20165000
45.86800003051758,45.95399856567383,40064500
48.96599960327149,47.51800155639648,79987500
49.82400131225586,49.39799880981445,67376500
48.09999847412109,51.09400177001953,49743500
50.79399871826172,53.08399963378906,58527500
53.290000915527344,51.43999862670898,44281000
52.09999847412109,50.01399993896485,36819500
50.20000076293945,49.98400115966797,45808500
49.900001525878906,49.56399917602539,28816000
49.70199966430664,50.90599822998047,24628000
50.59999847412109,50.37200164794922,20661000
